month,address,is_warning,reason
3,Kalkkihiekantie 3,0,1506
3,Kalkkihiekantie 1,0,2500 2501
3,Havukuja 4,1,0401
3,Leikosaarenkuja 7,1,0401
3,Vedenottamontie 9,0,0401
3,Vedenottamontie 9,0,0400
3,Vedenottamontie 9,0,0401
3,Vedenottamontie 10,0,0401
3,Vedenottamontie 12,0,0400
3,Pohjavedenkatu 4,0,0400 2200
3,Vedenottamontie 9,0,0401
3,Havukuja 1,0,0905
3,Havukuja 4,0,0905
3,Hiekkajaalanranta 1,0,0905
3,Hiekkalaiturintie 19,0,1504
3,Vedenottamontie 12,0,0401
3,Vedenottamontie 12,0,0401
3,Iiluodontie 6,0,1501
2,Vedenottamontie 12,0,0401
2,Hiekkajaalanranta 1,0,0905
2,Vedenottamontie 12,0,0401
2,Hiekkajaalanranta 1,0,0905
2,Leikosaarentie 8,0,1500
2,Leikosaarenkuja 2,0,0905
2,Leikosaarenkuja 7,0,0905
2,Vedenottamontie 12,0,0401
2,Vedenottamontie 12,0,0401
2,Hiekkalaiturintie 1,0,1501
2,Kalkkihiekantie 1,0,0401
2,Hiekkalaiturinraitti 3,0,0401
2,Leikosaarenraitti 0,0,1503
2,Vedenottamontie 12,0,0401
2,Vedenottamontie 12,0,0401
2,Vedenottamontie 12,0,0401
2,Vedenottamontie 9,0,0401
2,Pohjavedenkatu 2,0,0401
2,Pohjavedenkatu 2,0,0401
2,Pohjavedenkatu 3,0,1501
2,Vedenottamontie 12,0,0401
2,Vedenottamontie 10,0,0400
2,Pohjavedenkuja 5,0,1500
2,Leikosaarenkuja 2,0,1500
2,Vedenottamontie 9,0,0400
2,Kalkkihiekantie 1,0,1500
2,Kalkkihiekantie 3,0,1500
2,Kalkkihiekantie 1,0,1500
2,Hiekkajaalanranta 2,0,2301
2,Hiekkajaalanranta 2,0,0905
2,Kaivonkatsojantie 14,0,1600
2,Kaivonkatsojantie 14,0,1600
2,Kaivonkatsojantie 1,0,1600
2,Iiluodontie 6,0,1504
2,Vedenottamontie 14,0,0400
2,Vedenottamontie 12,0,0400
2,Hiekkajaalanranta 2,0,2301
2,Vedenottamontie 12,0,0401
2,Iiluodontie 6,0,1504
2,Vedenottamontie 8,0,0400
2,Vedenottamontie 9,0,0400
2,Kalkkihiekantie 1,0,1501
2,Leikosaarenkuja 1,0,0401
2,Pohjavedenkatu 3,0,1600
2,Hiekkajaalanranta 1,0,0401 2001
2,Leikosaarentie 18,0,0300
2,Hiekkajaalanranta 1,0,0401 2001
1,Vedenottamontie 12,0,0400
1,Vedenottamontie 12,0,0400 2001
1,Hiekkajaalanranta 2,0,2301
1,Iiluodontie 6,0,1504
1,Kalkkihiekantie 1,0,1501
1,Leikosaarenkuja 4,0,0400
1,Vedenottamontie 12,0,0400
1,Vedenottamontie 12,0,0400
1,Vedenottamontie 12,0,0400
1,Leikosaarenkuja 4,0,0400
1,Iiluodontie 6,0,1501
1,Hiekkalaiturintie 1,0,1501
1,Kalkkihiekantie 1,0,1501 0400
1,Leikosaarentie 24,0,2001
1,Iiluodontie 6,0,1501
1,Iiluodontie 6,0,1501
1,Hiekkajaalanranta 1,0,0900
1,Leikosaarentie 24,0,0900
1,Pohjavedenkuja 5,0,0400
1,Pohjavedenkatu 4,0,0401 2200
1,Pohjavedenkatu 2,0,0401
1,Pohjavedenkatu 8,1,0905
1,Pohjavedenkatu 8,0,0905
1,Kaivonkatsojantie 5,0,0905
1,Kaivonkatsojantie 3,0,0905
1,Kaivonkatsojantie 3,0,0905
1,Havukuja 2,0,0905
1,Havukuja 2,0,0905
1,Havukuja 2,0,0905
1,Havukuja 3,0,0905
1,Vedenottamontie 10,0,0400
1,Vedenottamontie 12,0,0400
1,Vedenottamontie 12,0,0400
1,Pohjavedenkuja 5,0,0400
1,Pohjavedenkatu 4,0,0400
1,Vedenottamontie 12,0,0400
1,Vedenottamontie 12,0,0400
1,Leikosaarenkuja 4,0,0400
1,Leikosaarentie 5,1,1503
1,Leikosaarenkuja 2,0,0401
