month,address,is_warning,reason,coords
5,Vedenottamontie 14,0,0400,60.2032759 25.1397466
5,Vedenottamontie 8,0,0400,60.2039558 25.1391689
5,Vedenottamontie 12,0,0400,60.2032491 25.1395408
5,Vedenottamontie 10,0,0400,60.2036026 25.1393550
5,Vedenottamontie 10,0,0400,60.2036026 25.1393550
5,Vedenottamontie 8,0,0400,60.2039558 25.1391689
5,Vedenottamontie 8,0,2001,60.2039558 25.1391689
5,Iiluodontie 6,0,1501,60.2050575 25.1453867
5,Vedenottamontie 9,0,0401,60.2039108 25.1388194
5,Vedenottamontie 10,0,0401,60.2036026 25.1393550
5,Vedenottamontie 9,0,0401,60.2039108 25.1388194
5,Vedenottamontie 12,0,0401,60.2032491 25.1395408
5,Vedenottamontie 12,0,0401,60.2032491 25.1395408
5,Iiluodontie 6,0,1504,60.2050575 25.1453867
5,Ullaksenpuisto 0,0,1700,60.2007738 25.1336198
5,Hiekkajaalanranta 5,0,0905,60.1998618 25.1431799
5,Leikosaarenkuja 4,0,0400,60.2023470 25.1386179
5,Vedenottamontie 12,0,0400,60.2032491 25.1395408
5,Iiluodontie 6,0,1504,60.2050575 25.1453867
5,Pohjavedenkuja 5,0,0401,60.2048878 25.1385844
5,Pohjavedenkatu 2,0,0401,60.2056034 25.1359552
5,Kaivonkatsojantie 16,0,1503,60.2035600 25.1368972
5,Vedenottamontie 14,0,0401,60.2032759 25.1397466
5,Vedenottamontie 8,1,0401 2001,60.2039558 25.1391689
5,Kalkkihiekantie 3,0,1502,60.2013023 25.1419897
5,Vedenottamontie 13,0,1501,60.2032041 25.1391918
5,Leikosaarenkuja 4,0,0401,60.2023470 25.1386179
5,Havukuja 4,0,1501,64.8554537 25.4711309
5,Pohjavedenkatu 2,0,0401,60.2056034 25.1359552
5,Havukuja 1,0,1501,62.7767796 22.8558842
5,Havukuja 2,0,1501,62.5783677 29.7923041
5,Havukuja 2,0,1501,62.5783677 29.7923041
5,Vedenottamontie 12,0,0401,60.2032491 25.1395408
